precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Harmar Dist 1,1269,Presidential Electors,1020,231,279,2,344,143,10,0,0,0,2,3,0,1,1,0
Harmar Dist 2,670,Presidential Electors,507,116,89,4,232,57,6,0,1,0,0,0,0,0,0,0
Harmar Dist 3,360,Presidential Electors,298,69,41,1,147,34,3,0,0,0,2,0,0,0,0,0
Harrison Ward 1 Dist 1,293,Presidential Electors,259,71,29,0,127,27,2,0,0,0,0,0,0,2,0,0
Harrison Ward 1 Dist 2,603,Presidential Electors,518,134,115,2,208,47,2,0,2,0,3,1,0,1,1,0
Harrison Ward 1 Dist 3,727,Presidential Electors,592,159,80,2,297,42,3,1,1,0,6,0,0,0,0,0
Harrison Ward 2 Dist 1,362,Presidential Electors,295,81,48,2,137,21,2,1,0,0,2,0,0,1,0,0
Harrison Ward 2 Dist 2,577,Presidential Electors,379,118,50,2,179,23,4,0,0,0,2,0,0,1,0,0
Harrison Ward 3 Dist 1,1078,Presidential Electors,929,211,180,4,420,93,8,1,1,0,2,0,0,5,1,0
Harrison Ward 3 Dist 2,649,Presidential Electors,564,154,87,2,264,38,2,6,0,0,1,2,0,4,2,0
Harrison Ward 4 Dist 1,710,Presidential Electors,593,138,84,1,320,42,1,0,0,0,3,2,0,1,1,0
Harrison Ward 4 Dist 2,616,Presidential Electors,488,111,77,0,247,43,3,1,0,0,4,0,0,1,0,0
Harrison Ward 5 Dist 1,521,Presidential Electors,317,113,67,2,105,19,1,4,0,0,1,0,0,3,2,0
Harrison Ward 5 Dist 2,829,Presidential Electors,678,175,99,1,339,43,3,2,1,0,6,0,0,4,1,0
